Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2023-05-16,237.3567657470703,238.17173375066986,234.07698169506946,234.3453164957857,18163800
2023-05-17,241.00428771972656,242.34600727348626,236.68093377191283,236.98903199910285,21193100
2023-05-18,245.33755493164062,245.57607474469805,239.7122301391278,239.82155677521192,22943300
2023-05-19,244.13497924804688,247.1662951314435,241.91864655785506,245.95376877808485,21733600
2023-05-22,246.79855346679688,252.0163867765751,243.6181476981217,243.90637936399096,27738500
2023-05-23,245.22824096679688,250.06839785063008,245.13878086697943,245.29780419410025,17748100
2023-05-24,247.68310546875,248.06076690925582,243.44919663824038,243.77717655928683,17724300
2023-05-25,251.14178466796875,254.05382543946865,247.6433472684531,251.8474260443769,22371400
2023-05-26,260.4344787597656,260.7028135397748,251.16164222922555,251.3802803282078,25727200
2023-05-30,260.9115905761719,267.0040383559522,259.68914590944416,263.62487542510655,23816500
2023-05-31,263.09808349609375,263.3763667458465,256.8665101905946,258.40700133554753,25473700
2023-06-01,270.939697265625,272.3211952601198,264.2608999882966,264.2708180932452,25609500
2023-06-02,270.939697265625,273.66292984303163,269.45883623806697,270.9894091127528,19416900
2023-06-05,269.72723388671875,273.88161614564507,267.9084291372205,268.6438855219357,20742900
2023-06-06,269.4588928222656,274.87551380789125,268.03766144833685,268.4849165134261,19419000
2023-06-07,261.98492431640625,272.5696655164689,261.1898077318564,270.0054865664619,26163600
2023-06-08,262.95892333984375,266.01012094205356,257.29386504297963,259.02319447783515,20899400
2023-06-09,263.32666015625,266.3082791185902,260.0965729470481,260.87179266403274,16949800
2023-06-12,269.3892822265625,270.0850055045359,263.7043270796276,265.53308021076936,15442500
2023-06-13,269.65765380859375,274.0306893344269,267.44130590092897,273.1958395792714,16164000
2023-06-14,271.67523193359375,273.3051681295707,266.6760511965219,270.22418562547983,19175100
2023-06-15,280.1032409667969,282.2500104912735,269.75704874068026,270.6316315864153,25973500
2023-06-16,279.2783203125,286.086356606878,278.4136556327555,283.00534416008674,43127700
2023-06-20,282.587890625,283.0550121381082,274.527595328235,277.0222262100039,20701600
2023-06-21,279.9144592285156,282.259985393519,276.65452605447956,281.79286378193234,20556200
2023-06-22,283.1345520019531,283.5122286040647,276.08799589967447,277.3700702629299,17563100
